ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade,Range,Total of A,Assignment of A,Midterm of A,Final of A,Assignment A (30),Midterm 30,final 35,Assignment B (30),Midterm B 30,final 35,meanA,meanB+,meanB,meanC+,meanC,meanD+,meanD,meanF
XX06351,30,50,85,9,17.5,29.75,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX06352,60,13,98,18,4.55,34.3,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX06353,83,40,72,24.9,14,25.2,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06354,73,87,95,21.9,30.45,33.25,86,A,81-90,86,73,87,95, , , , , , ,86, , , , , , , 
XX06355,97,63,82,29.1,22.05,28.7,80,A,71-80,80,97,63,82, , , , , , ,80, , , , , , , 
XX06356,23,60,100,6.9,21,35,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06357,87,63,15,26.1,22.05,5.25,53,D,51-60, , , , ,26.1,22.05,5.25, , , , , , , , , ,53, 
XX06358,20,97,18,6,33.95,6.3,46,F,41-50, , , , , , , ,6,33.95,6.3, , , , , , , ,46
XX06359,97,47,48,29.1,16.45,16.8,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX06360,73,60,98,21.9,21,34.3,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX06361,63,20,52,18.9,7,18.2,44,F,41-50, , , , , , , ,18.9,7,18.2, , , , , , , ,44
XX06362,73,0,55,21.9,0,19.25,41,F,41-50, , , , , , , ,21.9,0,19.25, , , , , , , ,41
XX06363,90,17,50,27,5.95,17.5,50,D,41-50, , , , ,27,5.95,17.5, , , , , , , , , ,50, 
XX06364,20,30,72,6,10.5,25.2,42,F,41-50, , , , , , , ,6,10.5,25.2, , , , , , , ,42
XX06365,0,3,82,0,1.05,28.7,30,F,21-30, , , , , , , ,0,1.05,28.7, , , , , , , ,30
XX06366,40,37,62,12,12.95,21.7,47,F,41-50, , , , , , , ,12,12.95,21.7, , , , , , , ,47
XX06367,70,53,90,21,18.55,31.5,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX06368,0,93,35,0,32.55,12.25,45,F,41-50, , , , , , , ,0,32.55,12.25, , , , , , , ,45
XX06369,67,20,95,20.1,7,33.25,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX06370,60,27,2,18,9.45,0.7,28,F,21-30, , , , , , , ,18,9.45,0.7, , , , , , , ,28
XX06371,7,30,10,2.1,10.5,3.5,16,F,11-20, , , , , , , ,2.1,10.5,3.5, , , , , , , ,16
XX06372,7,37,0,2.1,12.95,0,15,F,11-20, , , , , , , ,2.1,12.95,0, , , , , , , ,15
XX06373,30,83,95,9,29.05,33.25,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX06374,50,20,28,15,7,9.8,32,F,31-40, , , , , , , ,15,7,9.8, , , , , , , ,32
XX06375,80,0,2,24,0,0.7,25,F,21-30, , , , , , , ,24,0,0.7, , , , , , , ,25
XX06376,60,77,18,18,26.95,6.3,51,D,51-60, , , , ,18,26.95,6.3, , , , , , , , , ,51, 
XX06377,93,13,82,27.9,4.55,28.7,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06378,43,17,28,12.9,5.95,9.8,29,F,21-30, , , , , , , ,12.9,5.95,9.8, , , , , , , ,29
XX06379,93,67,45,27.9,23.45,15.75,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX06380,97,37,78,29.1,12.95,27.3,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX06381,93,27,12,27.9,9.45,4.2,42,F,41-50, , , , , , , ,27.9,9.45,4.2, , , , , , , ,42
XX06382,30,20,50,9,7,17.5,34,F,31-40, , , , , , , ,9,7,17.5, , , , , , , ,34
XX06383,23,93,42,6.9,32.55,14.7,54,D,51-60, , , , ,6.9,32.55,14.7, , , , , , , , , ,54, 
XX06384,73,80,42,21.9,28,14.7,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06385,3,0,45,0.9,0,15.75,17,F,11-20, , , , , , , ,0.9,0,15.75, , , , , , , ,17
XX06386,93,90,88,27.9,31.5,30.8,90,A,81-90,90,93,90,88, , , , , , ,90, , , , , , , 
XX06387,57,37,55,17.1,12.95,19.25,49,F,41-50, , , , , , , ,17.1,12.95,19.25, , , , , , , ,49
XX06388,70,47,78,21,16.45,27.3,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06389,90,17,70,27,5.95,24.5,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX06390,10,0,45,3,0,15.75,19,F,11-20, , , , , , , ,3,0,15.75, , , , , , , ,19
XX06391,20,50,75,6,17.5,26.25,50,D,41-50, , , , ,6,17.5,26.25, , , , , , , , , ,50, 
XX06392,73,37,70,21.9,12.95,24.5,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06393,97,50,2,29.1,17.5,0.7,47,F,41-50, , , , , , , ,29.1,17.5,0.7, , , , , , , ,47
XX06394,57,67,72,17.1,23.45,25.2,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX06395,87,17,8,26.1,5.95,2.8,35,F,31-40, , , , , , , ,26.1,5.95,2.8, , , , , , , ,35
XX06396,83,43,70,24.9,15.05,24.5,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06397,97,70,12,29.1,24.5,4.2,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX06398,27,57,22,8.1,19.95,7.7,36,F,31-40, , , , , , , ,8.1,19.95,7.7, , , , , , , ,36
XX06399,10,3,60,3,1.05,21,25,F,21-30, , , , , , , ,3,1.05,21, , , , , , , ,25
XX06400,87,20,48,26.1,7,16.8,50,D,41-50, , , , ,26.1,7,16.8, , , , , , , , , ,50, 
XX06401,33,97,42,9.9,33.95,14.7,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06402,87,83,55,26.1,29.05,19.25,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX06403,23,33,35,6.9,11.55,12.25,31,F,31-40, , , , , , , ,6.9,11.55,12.25, , , , , , , ,31
XX06404,90,23,75,27,8.05,26.25,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06405,73,37,68,21.9,12.95,23.8,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06406,97,40,30,29.1,14,10.5,54,D,51-60, , , , ,29.1,14,10.5, , , , , , , , , ,54, 
XX06407,17,63,50,5.1,22.05,17.5,45,F,41-50, , , , , , , ,5.1,22.05,17.5, , , , , , , ,45
XX06408,93,83,32,27.9,29.05,11.2,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06409,80,20,28,24,7,9.8,41,F,41-50, , , , , , , ,24,7,9.8, , , , , , , ,41
XX06410,57,3,25,17.1,1.05,8.75,27,F,21-30, , , , , , , ,17.1,1.05,8.75, , , , , , , ,27
XX06411,10,87,98,3,30.45,34.3,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06412,0,97,55,0,33.95,19.25,53,D,51-60, , , , ,0,33.95,19.25, , , , , , , , , ,53, 
XX06413,63,10,60,18.9,3.5,21,43,F,41-50, , , , , , , ,18.9,3.5,21, , , , , , , ,43
XX06414,33,60,48,9.9,21,16.8,48,F,41-50, , , , , , , ,9.9,21,16.8, , , , , , , ,48
XX06415,57,20,55,17.1,7,19.25,43,F,41-50, , , , , , , ,17.1,7,19.25, , , , , , , ,43
XX06416,23,13,25,6.9,4.55,8.75,20,F,11-20, , , , , , , ,6.9,4.55,8.75, , , , , , , ,20
XX06417,93,27,32,27.9,9.45,11.2,49,F,41-50, , , , , , , ,27.9,9.45,11.2, , , , , , , ,49
XX06418,93,90,95,27.9,31.5,33.25,93,A,91-100,93,93,90,95, , , , , , ,93, , , , , , , 
XX06419,20,13,15,6,4.55,5.25,16,F,11-20, , , , , , , ,6,4.55,5.25, , , , , , , ,16
XX06420,47,57,98,14.1,19.95,34.3,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06421,60,20,65,18,7,22.75,48,F,41-50, , , , , , , ,18,7,22.75, , , , , , , ,48
XX06422,67,50,60,20.1,17.5,21,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06423,67,13,38,20.1,4.55,13.3,38,F,31-40, , , , , , , ,20.1,4.55,13.3, , , , , , , ,38
XX06424,100,93,100,30,32.55,35,98,A,91-100,98,100,93,100, , , , , , ,98, , , , , , , 
XX06425,73,20,62,21.9,7,21.7,51,D,51-60, , , , ,21.9,7,21.7, , , , , , , , , ,51, 
XX06426,97,100,8,29.1,35,2.8,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX06427,33,27,72,9.9,9.45,25.2,45,F,41-50, , , , , , , ,9.9,9.45,25.2, , , , , , , ,45
XX06428,70,73,78,21,25.55,27.3,74,B,71-80, , , , , , , , , , , , ,74, , , , , 
XX06429,27,100,32,8.1,35,11.2,54,D,51-60, , , , ,8.1,35,11.2, , , , , , , , , ,54, 
XX06430,57,40,95,17.1,14,33.25,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06431,23,63,22,6.9,22.05,7.7,37,F,31-40, , , , , , , ,6.9,22.05,7.7, , , , , , , ,37
XX06432,0,97,57,0,33.95,19.95,54,D,51-60, , , , ,0,33.95,19.95, , , , , , , , , ,54, 
XX06433,3,10,65,0.9,3.5,22.75,27,F,21-30, , , , , , , ,0.9,3.5,22.75, , , , , , , ,27
XX06434,83,30,15,24.9,10.5,5.25,41,F,41-50, , , , , , , ,24.9,10.5,5.25, , , , , , , ,41
XX06435,17,47,2,5.1,16.45,0.7,22,F,21-30, , , , , , , ,5.1,16.45,0.7, , , , , , , ,22
XX06436,73,0,57,21.9,0,19.95,42,F,41-50, , , , , , , ,21.9,0,19.95, , , , , , , ,42
XX06437,80,60,2,24,21,0.7,46,F,41-50, , , , , , , ,24,21,0.7, , , , , , , ,46
XX06438,73,70,0,21.9,24.5,0,46,F,41-50, , , , , , , ,21.9,24.5,0, , , , , , , ,46
XX06439,77,80,75,23.1,28,26.25,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX06440,43,83,22,12.9,29.05,7.7,50,D,41-50, , , , ,12.9,29.05,7.7, , , , , , , , , ,50, 
XX06441,100,70,95,30,24.5,33.25,88,A,81-90,88,100,70,95, , , , , , ,88, , , , , , , 
XX06442,3,0,42,0.9,0,14.7,16,F,11-20, , , , , , , ,0.9,0,14.7, , , , , , , ,16
XX06443,93,63,75,27.9,22.05,26.25,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX06444,87,93,35,26.1,32.55,12.25,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX06445,83,83,48,24.9,29.05,16.8,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX06446,0,43,100,0,15.05,35,50,D,41-50, , , , ,0,15.05,35, , , , , , , , , ,50, 
XX06447,100,33,35,30,11.55,12.25,54,D,51-60, , , , ,30,11.55,12.25, , , , , , , , , ,54, 
XX06448,40,47,30,12,16.45,10.5,39,F,31-40, , , , , , , ,12,16.45,10.5, , , , , , , ,39
XX06449,93,23,2,27.9,8.05,0.7,37,F,31-40, , , , , , , ,27.9,8.05,0.7, , , , , , , ,37
XX06450,40,80,60,12,28,21,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06451,47,27,75,14.1,9.45,26.25,50,D,41-50, , , , ,14.1,9.45,26.25, , , , , , , , , ,50, 
XX06452,3,40,80,0.9,14,28,43,F,41-50, , , , , , , ,0.9,14,28, , , , , , , ,43
XX06453,13,73,55,3.9,25.55,19.25,49,F,41-50, , , , , , , ,3.9,25.55,19.25, , , , , , , ,49
XX06454,33,43,75,9.9,15.05,26.25,51,D,51-60, , , , ,9.9,15.05,26.25, , , , , , , , , ,51, 
XX06455,47,97,52,14.1,33.95,18.2,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX06456,70,100,92,21,35,32.2,88,A,81-90,88,70,100,92, , , , , , ,88, , , , , , , 
XX06457,33,100,55,9.9,35,19.25,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06458,0,80,18,0,28,6.3,34,F,31-40, , , , , , , ,0,28,6.3, , , , , , , ,34
XX06459,90,90,78,27,31.5,27.3,86,A,81-90,86,90,90,78, , , , , , ,86, , , , , , , 
XX06460,0,27,98,0,9.45,34.3,44,F,41-50, , , , , , , ,0,9.45,34.3, , , , , , , ,44
XX06461,20,77,92,6,26.95,32.2,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06462,70,13,70,21,4.55,24.5,50,D,41-50, , , , ,21,4.55,24.5, , , , , , , , , ,50, 
XX06463,47,53,98,14.1,18.55,34.3,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX06464,3,100,0,0.9,35,0,36,F,31-40, , , , , , , ,0.9,35,0, , , , , , , ,36
XX06465,3,20,85,0.9,7,29.75,38,F,31-40, , , , , , , ,0.9,7,29.75, , , , , , , ,38
XX06466,20,87,70,6,30.45,24.5,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06467,3,57,98,0.9,19.95,34.3,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX06468,3,50,32,0.9,17.5,11.2,30,F,21-30, , , , , , , ,0.9,17.5,11.2, , , , , , , ,30
XX06469,30,20,62,9,7,21.7,38,F,31-40, , , , , , , ,9,7,21.7, , , , , , , ,38
XX06470,7,67,45,2.1,23.45,15.75,41,F,41-50, , , , , , , ,2.1,23.45,15.75, , , , , , , ,41
XX06471,63,0,60,18.9,0,21,40,F,31-40, , , , , , , ,18.9,0,21, , , , , , , ,40
XX06472,30,97,72,9,33.95,25.2,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06473,93,97,10,27.9,33.95,3.5,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06474,13,100,70,3.9,35,24.5,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06475,90,100,85,27,35,29.75,92,A,91-100,92,90,100,85, , , , , , ,92, , , , , , , 
XX06476,83,3,45,24.9,1.05,15.75,42,F,41-50, , , , , , , ,24.9,1.05,15.75, , , , , , , ,42
XX06477,53,7,88,15.9,2.45,30.8,49,F,41-50, , , , , , , ,15.9,2.45,30.8, , , , , , , ,49
XX06478,13,100,85,3.9,35,29.75,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX06479,67,57,60,20.1,19.95,21,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06480,53,87,15,15.9,30.45,5.25,52,D,51-60, , , , ,15.9,30.45,5.25, , , , , , , , , ,52, 
XX06481,20,63,0,6,22.05,0,28,F,21-30, , , , , , , ,6,22.05,0, , , , , , , ,28
XX06482,70,90,68,21,31.5,23.8,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX06483,40,83,18,12,29.05,6.3,47,F,41-50, , , , , , , ,12,29.05,6.3, , , , , , , ,47
XX06484,0,40,0,0,14,0,14,F,11-20, , , , , , , ,0,14,0, , , , , , , ,14
XX06485,67,73,50,20.1,25.55,17.5,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06486,20,40,8,6,14,2.8,23,F,21-30, , , , , , , ,6,14,2.8, , , , , , , ,23
XX06487,3,33,95,0.9,11.55,33.25,46,F,41-50, , , , , , , ,0.9,11.55,33.25, , , , , , , ,46
XX06488,57,30,2,17.1,10.5,0.7,28,F,21-30, , , , , , , ,17.1,10.5,0.7, , , , , , , ,28
XX06489,20,43,82,6,15.05,28.7,50,D,41-50, , , , ,6,15.05,28.7, , , , , , , , , ,50, 
XX06490,23,57,10,6.9,19.95,3.5,30,F,21-30, , , , , , , ,6.9,19.95,3.5, , , , , , , ,30
XX06491,0,93,15,0,32.55,5.25,38,F,31-40, , , , , , , ,0,32.55,5.25, , , , , , , ,38
XX06492,83,60,88,24.9,21,30.8,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX06493,13,3,28,3.9,1.05,9.8,15,F,11-20, , , , , , , ,3.9,1.05,9.8, , , , , , , ,15
XX06494,80,20,78,24,7,27.3,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX06495,40,30,38,12,10.5,13.3,36,F,31-40, , , , , , , ,12,10.5,13.3, , , , , , , ,36
XX06496,17,63,62,5.1,22.05,21.7,49,F,41-50, , , , , , , ,5.1,22.05,21.7, , , , , , , ,49
XX06497,83,100,0,24.9,35,0,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX06498,83,97,8,24.9,33.95,2.8,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX06499,57,83,65,17.1,29.05,22.75,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX06500,53,17,40,15.9,5.95,14,36,F,31-40, , , , , , , ,15.9,5.95,14, , , , , , , ,36
XX06501,7,87,38,2.1,30.45,13.3,46,F,41-50, , , , , , , ,2.1,30.45,13.3, , , , , , , ,46
XX06502,10,23,52,3,8.05,18.2,29,F,21-30, , , , , , , ,3,8.05,18.2, , , , , , , ,29
XX06503,17,3,72,5.1,1.05,25.2,31,F,31-40, , , , , , , ,5.1,1.05,25.2, , , , , , , ,31
XX06504,70,13,90,21,4.55,31.5,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX06505,80,57,45,24,19.95,15.75,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX06506,100,40,100,30,14,35,79,B+,71-80, , , , , , , , , , , ,79, , , , , , 
XX06507,0,57,70,0,19.95,24.5,44,F,41-50, , , , , , , ,0,19.95,24.5, , , , , , , ,44
XX06508,23,47,42,6.9,16.45,14.7,38,F,31-40, , , , , , , ,6.9,16.45,14.7, , , , , , , ,38
XX06509,83,37,15,24.9,12.95,5.25,43,F,41-50, , , , , , , ,24.9,12.95,5.25, , , , , , , ,43
XX06510,97,57,0,29.1,19.95,0,49,F,41-50, , , , , , , ,29.1,19.95,0, , , , , , , ,49
XX06511,17,100,100,5.1,35,35,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX06512,23,33,60,6.9,11.55,21,39,F,31-40, , , , , , , ,6.9,11.55,21, , , , , , , ,39
XX06513,67,27,35,20.1,9.45,12.25,42,F,41-50, , , , , , , ,20.1,9.45,12.25, , , , , , , ,42
XX06514,80,30,30,24,10.5,10.5,45,F,41-50, , , , , , , ,24,10.5,10.5, , , , , , , ,45
XX06515,47,80,60,14.1,28,21,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06516,7,80,18,2.1,28,6.3,36,F,31-40, , , , , , , ,2.1,28,6.3, , , , , , , ,36
XX06517,7,67,65,2.1,23.45,22.75,48,F,41-50, , , , , , , ,2.1,23.45,22.75, , , , , , , ,48
XX06518,33,73,100,9.9,25.55,35,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX06519,73,13,20,21.9,4.55,7,33,F,31-40, , , , , , , ,21.9,4.55,7, , , , , , , ,33
XX06520,50,30,68,15,10.5,23.8,49,F,41-50, , , , , , , ,15,10.5,23.8, , , , , , , ,49
XX06521,27,100,95,8.1,35,33.25,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX06522,97,10,25,29.1,3.5,8.75,41,F,41-50, , , , , , , ,29.1,3.5,8.75, , , , , , , ,41
XX06523,43,13,50,12.9,4.55,17.5,35,F,31-40, , , , , , , ,12.9,4.55,17.5, , , , , , , ,35
XX06524,7,93,95,2.1,32.55,33.25,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06525,77,67,8,23.1,23.45,2.8,49,F,41-50, , , , , , , ,23.1,23.45,2.8, , , , , , , ,49
XX06526,67,63,65,20.1,22.05,22.75,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06527,30,10,75,9,3.5,26.25,39,F,31-40, , , , , , , ,9,3.5,26.25, , , , , , , ,39
XX06528,100,17,22,30,5.95,7.7,44,F,41-50, , , , , , , ,30,5.95,7.7, , , , , , , ,44
XX06529,67,50,62,20.1,17.5,21.7,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06530,40,43,68,12,15.05,23.8,51,D,51-60, , , , ,12,15.05,23.8, , , , , , , , , ,51, 
XX06531,83,47,38,24.9,16.45,13.3,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX06532,53,27,92,15.9,9.45,32.2,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX06533,30,80,35,9,28,12.25,49,F,41-50, , , , , , , ,9,28,12.25, , , , , , , ,49
XX06534,10,30,30,3,10.5,10.5,24,F,21-30, , , , , , , ,3,10.5,10.5, , , , , , , ,24
XX06535,97,93,8,29.1,32.55,2.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06536,43,37,42,12.9,12.95,14.7,41,F,41-50, , , , , , , ,12.9,12.95,14.7, , , , , , , ,41
XX06537,77,0,78,23.1,0,27.3,50,D,41-50, , , , ,23.1,0,27.3, , , , , , , , , ,50, 
XX06538,80,80,15,24,28,5.25,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX06539,73,37,68,21.9,12.95,23.8,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06540,17,7,18,5.1,2.45,6.3,14,F,11-20, , , , , , , ,5.1,2.45,6.3, , , , , , , ,14
XX06541,0,53,12,0,18.55,4.2,23,F,21-30, , , , , , , ,0,18.55,4.2, , , , , , , ,23
XX06542,70,53,70,21,18.55,24.5,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06543,17,70,12,5.1,24.5,4.2,34,F,31-40, , , , , , , ,5.1,24.5,4.2, , , , , , , ,34
XX06544,100,7,50,30,2.45,17.5,50,D,41-50, , , , ,30,2.45,17.5, , , , , , , , , ,50, 
XX06545,43,90,55,12.9,31.5,19.25,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX06546,3,30,5,0.9,10.5,1.75,13,F,11-20, , , , , , , ,0.9,10.5,1.75, , , , , , , ,13
XX06547,93,77,48,27.9,26.95,16.8,72,B,71-80, , , , , , , , , , , , ,72, , , , , 
XX06548,17,73,72,5.1,25.55,25.2,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX06549,73,57,5,21.9,19.95,1.75,44,F,41-50, , , , , , , ,21.9,19.95,1.75, , , , , , , ,44
XX06550,50,33,90,15,11.55,31.5,58,D+,51-60, , , , , , , , , , , , , , , ,58, , 
XX06551,60,97,5,18,33.95,1.75,54,D,51-60, , , , ,18,33.95,1.75, , , , , , , , , ,54, 
XX06552,93,90,45,27.9,31.5,15.75,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX06553,20,20,2,6,7,0.7,14,F,11-20, , , , , , , ,6,7,0.7, , , , , , , ,14
XX06554,13,87,18,3.9,30.45,6.3,41,F,41-50, , , , , , , ,3.9,30.45,6.3, , , , , , , ,41
XX06555,27,47,68,8.1,16.45,23.8,48,F,41-50, , , , , , , ,8.1,16.45,23.8, , , , , , , ,48
XX06556,70,17,10,21,5.95,3.5,30,F,21-30, , , , , , , ,21,5.95,3.5, , , , , , , ,30
XX06557,83,53,50,24.9,18.55,17.5,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX06558,47,100,12,14.1,35,4.2,53,D,51-60, , , , ,14.1,35,4.2, , , , , , , , , ,53, 
XX06559,87,10,57,26.1,3.5,19.95,50,D,41-50, , , , ,26.1,3.5,19.95, , , , , , , , , ,50, 
XX06560,97,93,100,29.1,32.55,35,97,A,91-100,97,97,93,100, , , , , , ,97, , , , , , , 
XX06561,80,70,38,24,24.5,13.3,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX06562,7,73,80,2.1,25.55,28,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX06563,63,50,88,18.9,17.5,30.8,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX06564,20,23,35,6,8.05,12.25,26,F,21-30, , , , , , , ,6,8.05,12.25, , , , , , , ,26
XX06565,53,0,75,15.9,0,26.25,42,F,41-50, , , , , , , ,15.9,0,26.25, , , , , , , ,42
XX06566,57,43,85,17.1,15.05,29.75,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX06567,17,97,78,5.1,33.95,27.3,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX06568,3,27,70,0.9,9.45,24.5,35,F,31-40, , , , , , , ,0.9,9.45,24.5, , , , , , , ,35
XX06569,73,67,28,21.9,23.45,9.8,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX06570,0,17,52,0,5.95,18.2,24,F,21-30, , , , , , , ,0,5.95,18.2, , , , , , , ,24
XX06571,27,17,28,8.1,5.95,9.8,24,F,21-30, , , , , , , ,8.1,5.95,9.8, , , , , , , ,24
XX06572,90,30,62,27,10.5,21.7,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06573,17,87,92,5.1,30.45,32.2,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX06574,17,77,48,5.1,26.95,16.8,49,F,41-50, , , , , , , ,5.1,26.95,16.8, , , , , , , ,49
XX06575,80,0,38,24,0,13.3,37,F,31-40, , , , , , , ,24,0,13.3, , , , , , , ,37
XX06576,77,27,52,23.1,9.45,18.2,51,D,51-60, , , , ,23.1,9.45,18.2, , , , , , , , , ,51, 
XX06577,50,7,30,15,2.45,10.5,28,F,21-30, , , , , , , ,15,2.45,10.5, , , , , , , ,28
XX06578,47,7,20,14.1,2.45,7,24,F,21-30, , , , , , , ,14.1,2.45,7, , , , , , , ,24
XX06579,83,33,82,24.9,11.55,28.7,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX06580,80,73,75,24,25.55,26.25,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX06581,3,93,15,0.9,32.55,5.25,39,F,31-40, , , , , , , ,0.9,32.55,5.25, , , , , , , ,39
XX06582,93,57,100,27.9,19.95,35,83,A,81-90,83,93,57,100, , , , , , ,83, , , , , , , 
XX06583,23,93,10,6.9,32.55,3.5,43,F,41-50, , , , , , , ,6.9,32.55,3.5, , , , , , , ,43
XX06584,47,93,57,14.1,32.55,19.95,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX06585,0,17,95,0,5.95,33.25,39,F,31-40, , , , , , , ,0,5.95,33.25, , , , , , , ,39
XX06586,70,67,18,21,23.45,6.3,51,D,51-60, , , , ,21,23.45,6.3, , , , , , , , , ,51, 
XX06587,80,40,72,24,14,25.2,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06588,90,70,98,27,24.5,34.3,86,A,81-90,86,90,70,98, , , , , , ,86, , , , , , , 
XX06589,37,87,88,11.1,30.45,30.8,72,B,71-80, , , , , , , , , , , , ,72, , , , , 
XX06590,23,47,20,6.9,16.45,7,30,F,21-30, , , , , , , ,6.9,16.45,7, , , , , , , ,30
XX06591,93,77,22,27.9,26.95,7.7,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX06592,67,63,15,20.1,22.05,5.25,47,F,41-50, , , , , , , ,20.1,22.05,5.25, , , , , , , ,47
XX06593,30,0,62,9,0,21.7,31,F,31-40, , , , , , , ,9,0,21.7, , , , , , , ,31
XX06594,7,83,57,2.1,29.05,19.95,51,D,51-60, , , , ,2.1,29.05,19.95, , , , , , , , , ,51, 
XX06595,27,37,18,8.1,12.95,6.3,27,F,21-30, , , , , , , ,8.1,12.95,6.3, , , , , , , ,27
XX06596,0,3,25,0,1.05,8.75,10,F,0-10, , , , , , , ,0,1.05,8.75, , , , , , , ,10
XX06597,73,90,45,21.9,31.5,15.75,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX06598,97,37,48,29.1,12.95,16.8,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX06599,63,0,82,18.9,0,28.7,48,F,41-50, , , , , , , ,18.9,0,28.7, , , , , , , ,48
